Column1.id_opd;Column1.opd;Column1.id_layanan;Column1.layanan
2;Inspektorat;393;Konsultasi
2;Inspektorat;1311;Kunjungan Kerja/Perjalanan Dinas
2;Inspektorat;394;Pemeriksaan dengan Tujuan Tertentu
2;Inspektorat;231;Pemeriksaan Monitoring
2;Inspektorat;229;Pemeriksaan Reguler
3;Dinas Pendidikan;308;Layanan Administrasi Kepegawaian
3;Dinas Pendidikan;541;Layanan Amprah SK Pensiun Pegawai
3;Dinas Pendidikan;304;Layanan Bantuan Operasional Sekolah (BOS)
3;Dinas Pendidikan;536;Layanan BOS PNF
3;Dinas Pendidikan;535;Layanan BOSP PAUD
3;Dinas Pendidikan;303;Layanan Data Pokok Pendidik (DAPODIK)
3;Dinas Pendidikan;305;Layanan Penerimaan Peserta Didik Baru (PPDB)
3;Dinas Pendidikan;302;Layanan Proses Penyaluran Tunjangan Profesi
3;Dinas Pendidikan;540;Layanan Tambah Kurang Tanggungan
3;Dinas Pendidikan;537;Layanan Usulan Surat Penyediaan Dana (SPD)
3;Dinas Pendidikan;20;Legalisir Ijazah / STTB/ SKHU dan Surat lainnya
3;Dinas Pendidikan;1464;Penanganan Layanan Pengaduan
3;Dinas Pendidikan;300;Penerbitan Nomor Pokok Sekolah Nasional (NPSN)
3;Dinas Pendidikan;534;Penerbitan NUPTK
3;Dinas Pendidikan;297;Penerbitan Rekomendasi untuk Penerbitan SIOP Satuan Pendidikan PAUD, SD, SMP dan Lembaga Pendidikan Non Formal
3;Dinas Pendidikan;538;Penerbitan Surat Permintaan Pembayaran (SPP) dan Surat Perintah Membayar (SPM-LS, SPM-GU), SPM-TU)
3;Dinas Pendidikan;542;Pengembalian Kelebihan Bayar Tunjangan
3;Dinas Pendidikan;301;Pengesahan Kurikulum Tingkat Satuan Pendidikan
3;Dinas Pendidikan;306;Pengurusan Magang / PKL / KKN / Penelitian
3;Dinas Pendidikan;299;Pengurusan Mutasi Siswa SD, SMP, PNF Negeri dan Swasta
3;Dinas Pendidikan;298;Pengurusan Surat Keterangan Pengganti Surat Keterangan Kesalahan Penulisam Ijazah Hilang / Rusak Tingkat SD, SMp, PNF Negeri dan Swasta
3;Dinas Pendidikan;539;Penyesuaian Gaji (Kenaikan Gaji Berkala dan Kenaikan Gaji Pangkat/Golongan)
3;Dinas Pendidikan;307;Rekomendasi Mutasi Aparatur Sipil Negara (ASN)
4;Dinas Kesehatan;477;Izin Survei Penelitian Mahasiswa
4;Dinas Kesehatan;241;Penerbitan Sertifikat Penyuluhan Keamanan Pangan
4;Dinas Kesehatan;474;Penerbitan Surat Kematian
4;Dinas Kesehatan;245;Penerbitan Surat Rekomendasi Peserta Unregister
4;Dinas Kesehatan;242;Permohonan Perjanjian Kerjasama (MoU) Kepaniteraan Klinik Senior Stase Public Helath Mahasiswa Co-Ass FK
4;Dinas Kesehatan;476;Survei Pemeriksaan Kualitas Air Minum di UPT Laboratorium Kesehatan Daerah
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;762;Fasilitasi Tenaga Konstruksi Jenjang Teknisi/Analis dan Operator
5;Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi;761;Pelayanan Pemanfaatan Penggunaan Bagian Jalan
